user_shop_id,buying_time,user_name,name,location,following_count,portrait,user_create_time
1995632,1637629004,leichishop,leichishop,KOTA JAKARTA UTARA,29,15b44f7b3c5f84c6da9cc5f2ac477e5a,1448872506
255369982,1638071098,trixiehh,trixiehh,KOTA SURAKARTA (SOLO),20,b0ea173d9d8b44bdb9bc2a6ce296df41,1588137855
55660572,1637743056,ninisdoloksaribu,ninisdoloksaribu,KOTA MEDAN,36,3c89df6306b4b1c7114dcef69c7142da,1517914307
2784583,1637391350,nova.rahayu,nova.rahayu,KAB. SUKABUMI,80,99a6c2072d0e90e3810841f6c3950cf5,1452929853
89124217,1637937621,sasazahra15,sasazahra15,KOTA DEPOK,48,b0eeb5eac252828010759299b4469c6f,1536460710
160033702,1637625648,nurfiramitafitri,Nurfiramitafitri,KAB. KUANTAN SINGINGI,144,c997c4e18d95ecd7e417a41e1a9492f2,1562204612
19899723,1638001940,gita.allyaa,Gita.allyaa,KOTA JAKARTA TIMUR,98,,1491625121
84064533,1637588481,yulianaselvia,yulianaselvia,KOTA PONTIANAK,0,5107feb18ee1bdcff3381908c5045402,1534066701
6584215,1637809580,silmilaaa,silmilaaa,KOTA BEKASI,41,e106c088292c749f16916eb14ce9ac62,1465394615
469046553,1637418145,cahaya4712,cahaya4712,KOTA JAKARTA BARAT,7,17e2ef610100e1c7514eba868dd6aa4e,1623923616
27668366,1637828549,yasminmutt,yasminmutt,KOTA JAKARTA SELATAN,60,8abb7fa138adb963a22791f942319674,1499934808
138173281,1638085555,rizalsda100,rizalsda100,KOTA SURABAYA,72,633ee61dc08417d91c6d7cdd0421d360,1554437797
116742787,1637831603,ichakenzo92,RM Beauty Shop,KOTA JAKARTA TIMUR,120,fbdb2c281664323f6c26acd898419a91,1545827744
267268468,1637500228,basit_4b,trzvzn7kcu,KOTA JAKARTA SELATAN,2,,1590581657
41463780,1637849449,reinaagn,reiinaaaaa_,KAB. MAJALENGKA,256,5d51b632680bafe9c7441fa8cdd12fd7,1509712989
126925869,1637982988,dpnhst__,dpnhst__,KAB. BANYUMAS,39,2958ae8cbed27055e80b39d38a972686,1550363971
110781296,1637799104,sayangida,sayangida,KOTA JAKARTA SELATAN,20,2510d08520198148b5e429aa8d4b3649,1543895483
36194637,1638016739,ameliaasiti29,ameliaasiti29,KOTA BANDUNG,7,85c3fa9a5c9bafd7ead50588a5911c34,1506397966
354753324,1637774438,astijklmn_,astijklmn_,KAB. BANDUNG,195,f36dff5ae386a95a56d0f5464690f1f0,1607706544
45619280,1637637551,angiwww,Pavla beauty,KOTA BOGOR,94,3f70d0fca4c9cfc8a5be860ffc6f343c,1511978765
174244178,1637657705,safamutia08,safamutia08,KOTA JAKARTA TIMUR,37,,1567135460
102547268,1637285154,cindnggun,cindnggun,KAB. BOGOR,99,4f6ca8b2927f065102be92641a967892,1541723528
